"","n","s","pct","MSE"
"1",25,2,0.5,2.81744064039666
"2",25,4,0.5,3.2676319038831
"3",25,6,0.5,3.38093010498255
"4",25,8,0.5,3.33371958288324
"5",25,10,0.5,2.66813973212581
"6",25,2,0.8,2.99393850909902
"7",25,4,0.8,3.11871359707436
"8",25,6,0.8,2.73089000266586
"9",25,8,0.8,3.26316727029851
"10",25,10,0.8,3.15290667512315
"11",50,2,0.5,2.89958821101135
"12",50,4,0.5,2.65961294581988
"13",50,6,0.5,2.93118313139997
"14",50,8,0.5,2.79339574053154
"15",50,10,0.5,2.7173736582064
"16",50,2,0.8,2.42237085944542
"17",50,4,0.8,3.52040121081816
"18",50,6,0.8,3.40287289966375
"19",50,8,0.8,3.57763945886344
"20",50,10,0.8,3.38039191391166
"21",100,2,0.5,2.57125944928335
"22",100,4,0.5,2.76476986604584
"23",100,6,0.5,2.86407839470796
"24",100,8,0.5,3.02236700353765
"25",100,10,0.5,3.04133274711172
"26",100,2,0.8,2.02659205474678
"27",100,4,0.8,2.28623628512816
"28",100,6,0.8,2.22280262501121
"29",100,8,0.8,2.75127306502266
"30",100,10,0.8,2.61786370500137
"31",200,2,0.5,2.03174350638965
"32",200,4,0.5,2.28600925021149
"33",200,6,0.5,2.47423250939122
"34",200,8,0.5,2.55653706722793
"35",200,10,0.5,2.54547481232697
"36",200,2,0.8,1.57680766293557
"37",200,4,0.8,1.88100376757032
"38",200,6,0.8,2.32299816371828
"39",200,8,0.8,2.13494348250819
"40",200,10,0.8,2.24391099017851
"41",400,2,0.5,1.5993607295759
"42",400,4,0.5,1.98091486595377
"43",400,6,0.5,2.21201683203878
"44",400,8,0.5,2.31999548786993
"45",400,10,0.5,2.40520905725033
"46",400,2,0.8,1.24422446438724
"47",400,4,0.8,1.58195682384834
"48",400,6,0.8,1.97752038282194
"49",400,8,0.8,2.02748912136558
"50",400,10,0.8,2.12724003869579
