"","n","gamma","pct","MSE"
"1",100,0.5,0.5,223.759294722704
"2",100,0.6,0.5,164.318782731924
"3",100,0.7,0.5,142.21435958055
"4",100,0.8,0.5,121.056861293832
"5",100,0.9,0.5,103.821085156142
"6",100,1,0.5,103.646511672659
"7",200,0.5,0.5,832.688158784483
"8",200,0.6,0.5,589.785957539331
"9",200,0.7,0.5,395.614811271559
"10",200,0.8,0.5,325.143662625483
"11",200,0.9,0.5,247.927872885908
"12",200,1,0.5,228.969701574676
"13",400,0.5,0.5,232.031887784516
"14",400,0.6,0.5,167.449253815977
"15",400,0.7,0.5,110.938756316929
"16",400,0.8,0.5,82.6648038799369
"17",400,0.9,0.5,60.830980589001
"18",400,1,0.5,60.830980589001
"19",800,0.5,0.5,670.852521937378
"20",800,0.6,0.5,435.725921072198
"21",800,0.7,0.5,315.1607821574
"22",800,0.8,0.5,224.252643734617
"23",800,0.9,0.5,198.054536887645
"24",800,1,0.5,198.054536887645
"25",1600,0.5,0.5,349.280379818985
"26",1600,0.6,0.5,240.668058203163
"27",1600,0.7,0.5,156.481471998299
"28",1600,0.8,0.5,107.22133431325
"29",1600,0.9,0.5,112.852737180732
"30",1600,1,0.5,112.852737180732
"31",100,0.5,0.8,173.657322504941
"32",100,0.6,0.8,143.190472642251
"33",100,0.7,0.8,110.584740348786
"34",100,0.8,0.8,88.2859228728026
"35",100,0.9,0.8,76.3628659494089
"36",100,1,0.8,76.3628659494089
"37",200,0.5,0.8,642.098810902306
"38",200,0.6,0.8,437.468688493993
"39",200,0.7,0.8,321.536687458032
"40",200,0.8,0.8,224.052551369985
"41",200,0.9,0.8,166.016672740683
"42",200,1,0.8,166.016672740683
"43",400,0.5,0.8,185.409966531001
"44",400,0.6,0.8,134.442904515182
"45",400,0.7,0.8,91.7350797925077
"46",400,0.8,0.8,67.5111876251978
"47",400,0.9,0.8,35.4020137172437
"48",400,1,0.8,34.9368408246027
"49",800,0.5,0.8,557.36501355512
"50",800,0.6,0.8,375.097528544796
"51",800,0.7,0.8,238.770487357718
"52",800,0.8,0.8,163.923421737678
"53",800,0.9,0.8,152.021119914516
"54",800,1,0.8,152.124908565578
"55",1600,0.5,0.8,310.618490117151
"56",1600,0.6,0.8,206.485707228214
"57",1600,0.7,0.8,131.09266818781
"58",1600,0.8,0.8,88.5497232174717
"59",1600,0.9,0.8,75.358579538835
"60",1600,1,0.8,96.4254674958887
